Input,Target
У меня на данный момент нет животных но я в детстве мечтала завести собаку Ты писала что у тебя намечается новоселье а в каком городе ты планируешь жить, Я двигаюсь в этом направлении Необходимо выбратьпороду собаки которая станет для меня настоящим другом А какая порода собаки у тебя
Я тебе советую Выборгский район Он в Питере считаетсясамым лучшим и занимает первое место , Привет
Как тебя зовут Чем занимаешься, Мне 30 а тебе
Дима приятно познакомиться, Я как раз учусь печь пироги А профессия у тебя есть какаянибудь
Я не умею плавать в ближайшее время хочу научиться А работаю я грузчиком, Здорово у меня нет детей Только кактус
приветики, я прям тоже самое писала у меня отличное
смена ночная заняться нечем а ты чего не спишь, ух ты ж так между нами километрыем занимаешься у нас сегодня тишина  в прошлую смену тут коготолько не было и колотые и резанные и рваные
мужику одному ногу на  катке вывернуло вообще жуть, че за экзамен
ты учишься еще, о колега а я медуху закончила родители у меня строители настаивали на строительном институте но какой с меня строитель 
работаю на скорой медсестрой, в детстве любила шить куклам платья теперь вот зашиваюлюдям раны  здорово если б у моих родаков было куча денег я б не работала
сейчас валялась бы гденибудь на пляже, ну почему ничего не делать можно рыбу ловить серфить
коктейли бадяжить как тебя зовтут зовут, не попадаю по кнопкам Аленка
и мне о привезли когото побегу смотреть, привет
Я Михаил, приятно познакомитьсяя как раз не женат чем занимаетесь по жизни
вы стюардесса бывшая, оя тоже у нас нашлось чтото общее
любите животных у меня две собачки, когда на работу хожу не с кем оставлять  работатрудная запаристая работаю автослесарем но очень люблю автомобили аллергияэто плохо
спасибо может еще чтото о вас, надо обязательно какнибудь вместе сходить
а что с сетрой я из Минска, аааану у вас времени много
Я очень люблю музыку, А что любите вы Дела отлично Как у вас
Это мое любимое занятие ха Но перед едой я конечно же сначала поплаваю, Да согласен танцы мне знакомы я иногда танцую когдапутешествую  А где вы живете
конечно же, Приезжайте ко мнея живу за городом когда вас ожидать
ок Ладно до завтрамне нужно бежать, привет кто ты ауу
работаешь кира или учишься, а кем
я учусь, как ты любишь проводить время и собак и кошек вообще животных люблю и детей люблюесть крестник а у тебя есть дети
много , кто
не знаю кто это, Привет
Андрей А вас Чем занимаетесь, Я преподаватель в университете
В свободное время увлекаюсь рыбалкой и охотой Попадаю программирование, Не очень 
А вы чем занимаетесь в свободное время Есть хобби, Вы пенсионер
Привет, Давай знакомиться
А я домохозяйка у меня нет работв Ты любишь животных, А у меня кот
А я люблю своего мужа  У тебя есть мечта, А я очень хочу на море У тебя дети есть
Привет, Где ты жившь Я в Украине
Люблю природу Мо хобби вязание очень люблю связать своим деткамчто то интересное Чем ты занимаешься, Да двоеа у тебя На кого учишься
Какие планы на будущее, Так на кого учишьсяна фотографа
Я планирую путешествовать буду тоже много фотографировать да природу обожаю, На кого охотишься
Круто, Огоне страшно
хах, Мне всех животных жалко
Не ну камаров терпеть не могу Они мерзкие Насекомых не люблюдаже некоторых боюсь, Привет
Давай, Меня зовут Мария я фрилансер Редко занимаюсь спортом но очень люблю
Не люблю бег предпочитаю лыжи Время по утрам оченьценю Очень люблю путешествовать, Это просто научишься
Нет я плохой учитель, Хорошо
Нет спасибо Какая у тебя профессия , Ок
И тебе спасибо, 
привет как тебя зовут, а меня Аня и я программист Чем любишь заниматься 
а люблю ходить на рок концерты и хочу освоить фортепиано, ты сам живешь
есть пиво я не люблю собака и коты а у вас кто то есть , ахах интересная рыбалка
это круто, нет у меня есть муж
бывает, питон а вы потон
а я скорпион, я тоже
нет а кто это , я не Верв
нет, мн
я Аня да, Важно
рамштайн, да
не очень, БОНИ И БЕЛЛА
тоже программист, привет
надеюсь не глупый у меня собеседник  отличнодела как твои просто не люблю глупых людей расскажи о себе, круто
у нас тоже отличная погода а я сварщик люблю плавать но время для этого есть только в выходные, увлекаюсь музыкой брассом
сварщиком в цеху, круто люблю вкусно поесть
и послушать хорошую музыку неее, я не смотрю фильмы молодец
да это люблю, детективы
Привет, Я женщина Норм а у вас
У меня двое детей а у вас есть дети, Увлекаюсь рукоделием Работаю няней а вы
Да все по чутьчуть слушаю Люблю сыр очень, Сыр
Да угадали, Да а вы женаты
Приятно было познакомиться, Да люблю
добрый день, как ваши дела
Алина, тоже хорошо только с работы ноги притянула взаимно
морально я учитель младших классов в этом году первйкласс отличный выбор профессии, дааа в школе детвора еще и дома двое порой силне хватает а у вас есть дети
американо это мой любимый кофе что за животные, у нас шиншилла
Привет, Вадим А вас
Вообще по жизни я планирую стать Врачом поэтому сейчасобучаюсь на 2 курсе Сколько вам лет, Какими танцами вы занимаетесь
Прошу прощения, Очень интересно Как вы относитесь к животным
О да спасибо что поинтересовались Недавно мы завеличудесную собаку Мои братья ее просто обожают, Да у меня три брата
Это так кажется только со стороны иногда это большаяпроблема Я не женат, Это очень здорово Я тлюблю вкусно покушать Жаль некому кормить  Любите путешествовать
Ой знаете с этой учебой у меня совсем нет свободноговремени так что  даже не знаю У вас есть какиенибудь интересные увлечения, Хммвозможно С вами очень приятно общаться Я рад что мы пересеклись
Лично я думаю что в жизни нужно поведать мир Жаль что вы не любите путешествовать это очень занимательно Вот отучусь и еще раз съезжу в Китай чудесная страна, Ох знаете всего не перечесть но там очень вкуснаяеда в продолжение нашего диалога 
Привет, Я Ксю Нормально вот отдыхаю уже устала носить пузо беременное
Дочку сын уже есть, Даааа семья не маленькая у меня уже будет скоро А твои мама и папа разведены
Слава Богу Мы тоже вместе Просто сейчас так много разводяться Жаль , Привет
Евегений Чем увлекаешься Артм, Увлекаюсь футболом Чем увелкаешься Артем
Я экономист я закончил Политех А ты , Женился В Телеге уже сколько сидишь 
А я три раза разводилась Но я оказывается девушка Но я не унываю что развелась, Самое главное не прерывать диалог советую тебе попробоватьБесбармак Азиатское блюдо Любишь обнимашки 
Я тоже люблю обнимашки У нас столько общего ха Может то тоже мечтаешь как и я о космосе, Я себя люблю А ты
Детей любишь, Здравствуйте Познакомимся
Меня Даниил зовут А вас, 25 лет живу в Новосибирской области А вы
Круто Мечтаю побывать в Москве Дядя там живт Вс никак не могу выбраться Работы много, я работаю кинологом у меня 6 собак А вы кем работаете
Немецкие овчарки, Единственное что мне не нравится это гулять но приходится
ха А вот кошек я не люблю, Писиют они везде да и пахнет потом вс Ну хотя можетмне просто такой кот попадался Да я очень люблю собак Художник Ммм
К сожалению кроме собак у меня на данный момент никогонет, Но в скором времени хочу вс исправить Прикольно
Будут дети буду тоже их любить А сейчас я люблюмузыку, Предпочитаю рок А вы
Тоже не плохо, Ездишь куда нибудь отдыхать Где понравилось
На Байкале здорово  Был на чрном море не оченьтам понравилось берег грязный Больше всего мне понравилось на Алтае Природа шикарная, Ладно Игорь Спасибо вам за диалог было приятно пообщаться Собачки просятся Удачи вам
Стоновись ровняйся ноги на ширене плеч, Ожимаюсь
Ага а Вы Моя новоизбранная тоже так считает, не
Каждый день По восемь тысяч раз, как сказать мне очень нравится это дело молодец
я тоже люблю смену обстановки Хожу на всякие развлекающие сеансы, И туда тоже
Танцы минус, Тоже ничего
А я видел, ДА они по улице пели и с шапочкой бегали
Щас буду делать следующее упражнение, Штанга
Привет, Как дела 
Чем занимаешься , Я работаю Давно в бассейн ходишь 
А я наоборот не очень Как проводишь свободное время , Люблю рыбалку
У тебя есть жена  дети , Работаешь 
Далеко ездишь , Я с Украины Есть домашние животные
Ещ нет  снег идт, У меня только кот Вы живте в частном доме 
Или в квартире  Как тебя зовут , Обычный  рыжий
Сколько тебе лет , И у тебя еже трое детей
И зимой рыбачу обожаю рыбу, У вас холодно  Какое у тебя хобби 
Круто Было приятно познакомится, Я выращиваю цитрусовые
Привет Что делаешь Я вот готовлю обожаю это дело вечноу плиты, А я работаю учителем люблю свою работу и детей Уменя кстати есть сын а у тебя Я из Москвы а ты
А я домосед очень сильно мечтаю о большом доме хочуотдельную комнату для своего хобби Я рисую а тычем увлекаешься, Привет Как дела Как день проходит
Как Вас зовут Меня Юля Мне 21 год, Люблю бегать по утрам Ходить в кино Есть мороженое И очень люблю вышивать Даже мечтаю открыть своюфабрику А ты что любишь Какие увлечения
Фабрику по пошиву одежды Я учусь на модельера Я уже придумала кучу новой одежды с моей фирменнойвышевкой Уверена что все получится Я очень трудолюбивая, Вот только с моей трудолюбивостью я превращаюсь втрудоголика Совсем нет времени на личную жизнь ая хочу семью
В этом году заканчиваю Живопись мне нравится Частохожу в галереи на выставки Но рисовать не получается Точнее получается но как то не очень, Ой мой автобус подошл В педагогическом на худграфе Рада была пообщаться Всего хорошего
Привет, Как тебя зовут
Очень приятно Меня Ксения У меня куму зовут Лена будет легко запомнить, Прикольно ты перепутал 
Деньги считаю А ты, Ходишь или бегаешь
А для чего, Ой у меня свободного времени почти не остается уменя двое детей Сейчас просматриваю робили БизнесМолодость нравятся их идеи Ролики
5 и 6 лет пока в детском саду А тым чем кроме хотьбызанимаешься, Ну пока Жаль что ты уходишь Может еще поболтаем
У меня животных нет была собака но пришлось ее отдать Сколько тебе лет, А где ты учился
О круто а я с дипломом финансиста, Не зря же говорила что деньги считаю
Раньше на фирме считала сейчас дома, Я сейчас ищу удаленную работу хочу запустить одинпроект нужен опыт и чуть подучиться А ты чем планируешьпосле Сочи заняться
В фитнесзале, В Сочи за победой или поучавствовать
Привет, Я уже давно закончил школу
Да Я уже успел выйти замуж и развестись Расскажи о себе, А я водитель
Ну да Интересно, Можно побывать в разных городах
Ага, В Шуе
Ивановская область, Не люблю шум больших городов
Больше люблю уединенные места Поэтому живу в доме на окраине леса, Привет
Как дела Чем занимаешься, Ты тоже студент  Здорово У меня уже сегодня всезакончилось на кого учишься
А я будущий адвокат Но езжу на пары на машине купилдесятку люблю этих железных коней Ты на метро , А девушку найти у вас можно  В моем городе хотьи есть метро с хорошими девчонками прям беда
Прекрасно  Тогда я хватаю самый лучший торт мойсамый любимый и еду к вам Что еще можешь про себярассказать , Здорово  как на все у тебя времени хватает Я думаю тебе стоит как нибудь взять фотик красивую девчонкуи мотнуть в горы а страх высоты можно считать захватываниемдуха от красоты
Много путешествуешь, А от меня ближайшее море километрах в 300 но купатьсяв нем можно только жарким летом Какая страна тебебольше всего понравилась 
А люди где самые дружелюбные, Хей привет
Как зовут, Саня
Сколько лет Анатолий Работаю, Агент по продажам я
Мн Недавно ребенок появился, Ого поздравляю
Есть хобби Не особо, Я предпочитаю активный отдых
Путешествовать люблю и серфить по волнам Конфеты готовишь  Я просто так их обожаю, Здравствуйте
Любите классику, Из Йошкаролы
А чем занимаетесь, Овощные Не думал об этом
Классно, Да
У вас есть домашние животные, Привет
Как дела, О и как успехи
очень жаль А у меня вс отлично потому что погода хорошая каклетом , Я из горной Ингушетии хотя в горах не была А ты
Приятно, Привет
Кем вы работаете, Круто а я вот пока безработный Зато в свободноевремя подтягиваются свой английский  Вы в отпуске давно были
Я бы с удовольствием сходил бы в отпуск хоть я ибезработный парадокс Харлампий а вас , Очень приятно вы любите играть в футбол
привет, чем занимаешься
бисером вышиваю как тебя зовут, Аня
фильмы люблю смотреть исторические а ты, с тремя детьми особо увлечениям время не уделитьк сожалению спорт это хорошо
любишь животных, муж запрещает мне кошку завести  а я их так люблю
ты работаешь, нет ладно дети отвлекают мне пора удачи и зароботка
Эй привет Как поживаешь, Очень круто Тачилу прикупил
Вот сейчас пойдем с пацанами обмывать, Не я седаны люблю Быху взял старую но огонь А ты чем занимаешься
Молодца А мне вот некогда все, Работа потом друзья Теперь машину надо подшаманить Я слесарь Если что обращайся
привет, из города и в городе живу
тоже в России экстремалить, на машине
это печально круто, а я люблю рубу и собак рыбу
ой злая наверное, Привет
Ваня учусь в 7 школе у меня есть собака но папамне не разрешает разговаривать с незнакомыми, Вы учитель  а у меня в школе любимый учитель учительматематики папа говорит нужно уметь считать деньги он работает инкассатором
Да конечно Я думаю что существует магия чисел, добрый день
я марина веселый человек, люблю делать подделки а вы
люблю кошек, Мое хобби  поделки очень у меня растет дочь она студентка уже
кто вы по знаку задиака, Привет Как тебя зовут
Собираюсь пойти прогуляться Что ещ делать на пенсии А ты чем, Есть походы в магазин и к внукам Ухты интересное увлечение А кем ты работаешь Или учишься ещ
Кем, Я тоже думаю пойти подработать продавцом Но возьмутли меня Да и я инженер по образованию не знаю смогули
Да не слитно много у меня ранняя пенсия 55 лет А сыну и дочери 25 лет, Замечательный возраст А ты замужем
Здорово А чем ещ увлекаешься, Я из России так ты тоже наверное
Здравствуй Довай познакомимся Я  Антон, Лена очень приятно Давай с самого начала договоримсяне прерывать наш разговор раньше времени Ведь хочетсяузнать друг о друге побольше Ты к примеру где работаешь
А я библиотекарь Очень интересная скажу тебе работа Хотя многие считают ее скучной и однообразной Ночерез твои руки проходит столько книг И в них стольковсего загадочного ценлые миры целые миры А ты любишь читать И кто у тебя любимый писатель, Я в последнее время увлекся молодым писателем Валиулиным Он очень образно и здорово пишет в жанре фэнтези ну прямо ощущаешь себя в тех мирах которые он описывает А муж у тебя технарь
Да извини не увидел твоего последнего вопроса Детиу меня есть двое И тоже очень канительно возитьсяс ними А ведь у меня кроме работы есть и свои маленькиеувлечения люблю к примеру вязать как это ни страннотебе покажется Время на свои какието увлечения у тебя остается, Признаюсь часто закрываюсь в своей комнате от всех должно же быть у человека личное время хоть немного и пишу статейки которые печатает местная газетка Ржевская правда  То бишь живу я во Ржеве ЭтоТверская область А ты где живешь
Отлично Знаю и люблю ваш город Кстати ты наверноечиттала Пушкина Домик в Коломне , Ну у тебя еще все впереди прочитаешь До скорой встречи Спасибо за общение
Привет, Нормально Чем занимаешься  Ау
А я социальный работник, Нет но у меня большая семья
Как дети я люблю детей, Там красивоособенно летомя люблю лето
Привет, Как у тебя дела  Чем занимаешься
Прекрасно Я просто обожаю их они цветы нашей жизни, У меня все хорошо погода утром была просто чудесной Нет меня данный факт никак не смущает я вот наоборотженат и очень люблю свою жену Меня ничего не испугало просто параллельно смотрю новую книгу которую недавнокупил Просто обожаю их А вы любите книги
Простите за нескромный вопрос но сколько вы получаетеза одну книгу Я очень хочу играть в рок группепотому что просто обожаю играть на гитаре Я из Москвы у меня жена а также британская кошка Люба и лабрадорДжесси А у вы как живете и где Как вы относитесь к спорту Занимаетесь чемто, Привет как жизнь
